Qualified for pricelist >= 2024;Code;Name;Description;LicenseDuration;MaintenanceDuration;ExpectedDeliveryTime;PaymentModel;ExpectedInvoiceDate;GrantOfRights;Profile;MandatoryOptional_ID;LicenseMethod;Cost_Center;Discount_Rate;Operational_Profit_Rate;OperationalProfitType;Perpetual;Support_Hours_Amount;UpdateRight;Apply_Withholding_Tax
;31;Company License Support & Maintenance;"

- Annual fee;";#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;License;;no technical license protection;;10;50;Fix rate;FALSE;;none;TRUE
;32;Upgrade (EB GUIDE);#NAME?;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;License;;no technical license protection;6400;10;50;Fix rate;TRUE;;none;TRUE
;33;Dongled License (EB GUIDE);"- Perpetual DEVELOPMENT LICENSE per seat

- Includes free UPDATES to new product versions within the same primary version number for the first year. 

- Includes 10h support for the first year";#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;License;;EB GUIDE Dongle License File;6400;10;50;Fix rate;TRUE;10;UpdateRightByConfiguration;TRUE
;34;Dongled Temporary License;"

Time limited license.";#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;License;;no technical license protection;;10;50;Fix rate;FALSE;;none;TRUE
;35;Development License (one developer seat);Perpetual, full featured license for developing applications and samples, production is not covered. 12 months maintenance and support via phone and e-mail included.;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;License;;no technical license protection;6400;10;50;Fix rate;TRUE;;UpdateRightByConfiguration;TRUE
;36;Development License (one developer seat) Support & Maintenance;"Extension of software updates and patch releases for one year.

Contains ten hours of support per developer seat.";#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;License;;no technical license protection;6400;10;50;Fix rate;TRUE;;TotalAmountAsUpdateRight;TRUE
;37;Project License (one developer seat);Full development and production license for one single ECU project based on one µC derivative and one compiler version. 12 months maintenance and support via phone and email included.;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;License;;no technical license protection;6400;10;50;Fix rate;TRUE;;UpdateRightByConfiguration;TRUE
;38;Project License (one developer seat) Support & Maintenance;"Extension of software updates and patch releases for one year.

Contains ten hours of support per developer seat.";#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;License;;no technical license protection;6400;10;50;Fix rate;TRUE;;TotalAmountAsUpdateRight;TRUE
;39;"Project License (three developer seats, including ""Porting Package - compiler version"" or ""Porting Package - derivative"")";Full development and production license for one single ECU project based on one µC derivative and one compiler version. 12 months maintenance and support via phone and e-mail included.;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;License;;no technical license protection;6400;10;50;Fix rate;TRUE;;UpdateRightByConfiguration;TRUE
;40;"Project License (three developer seats, including ""Porting Package - compiler version"" or ""Porting Package - derivative"") Support & Maintenance";"Extension of software updates and patch releases for one year.

Contains ten hours of support per developer seat.";#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;License;;no technical license protection;6400;10;50;Fix rate;TRUE;;TotalAmountAsUpdateRight;TRUE
;41;Product Line License (five developer seats);Full development and production license for all ECU projects in one product line of one company based on one µC family and one compiler version. Support for one dedicated µC derivative included. 12 months maintenance and support via phone and e-mail included.;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;License;;no technical license protection;6400;10;50;Fix rate;TRUE;;UpdateRightByConfiguration;TRUE
;42;Product Line License (five developer seats) Support & Maintenance;"Extension of software updates and patch releases for one year.

Contains 10 hours of support per developer seat.";#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;License;;no technical license protection;6400;10;50;Fix rate;TRUE;;TotalAmountAsUpdateRight;TRUE
;43;Company License (ten developer seats);Full development and production license for all ECU projects in one company based on one µC family and one compiler version. Support for one dedicated µC derivative included. 12 months maintenance and support via phone and e-mail included.;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;License;;no technical license protection;6400;10;50;Fix rate;TRUE;;UpdateRightByConfiguration;TRUE
;44;Company License (ten developer seats) Support & Maintenance;"Extension of software updates and patch releases for one year.

Contains 10 hours of support per developer seat.";#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;License;;no technical license protection;6400;10;50;Fix rate;TRUE;;TotalAmountAsUpdateRight;TRUE
;45;Additional developer seat;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;License;;no technical license protection;6400;10;50;Fix rate;FALSE;;UpdateRightByConfiguration;TRUE
yes;46;Hardware Services;"- ELEKTROBIT HARDWARE-related service
- Scope defined in section ""Products and services"".";n/a;n/a;In mutual alignment with the project;One-time payment;With FINAL DELIVERY;n/a;Product related service without profile;;no technical license protection;6500;10;;Calculated;FALSE;;none;TRUE
yes;47;Company License for OEM;"The CUSTOMER gets the right to use the license under the following condition:
a. The run-time software is used for one Vehicle OEM Brand only.
b. The run-time software is used for one µC family and compiler version only.
- Including MAINTENANCE (as defined on page ""Definitions"")

Additionally, the restrictions according to the LICENSE PROFILE defined on page ""Scope of license"" apply.";perpetual;12 months;FINALIZED PURCHASE PROCESS + 2 weeks;One-time payment;With FINAL DELIVERY;Reproduction and Distribution License;License;;no technical license protection;6400;10;50;Fix rate;TRUE;;UpdateRightByConfiguration;TRUE
;48;OEM specific Domain License;"The product is used for production projects restricted to one application domain. We recognize the following application domains:

a. Body and Comfort

b. Powertrain

c. Chassis

d. Occupants and Passenger Safety

e. Multimedia, Telematics and Human-Machine Interface

Typical use case for this license is to develop and produce ECUs for one application domain for different vehicles.

Production: yes; µC: family; Number of projects: unlimited; Duration: perpetual;";#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;License;;no technical license protection;;10;50;Fix rate;FALSE;;none;TRUE
yes;49;OEM-restricted Product Line License;"The CUSTOMER gets the right to use the license under the following condition: 
a. The run-time software is used for one Vehicle OEM Brand only. 
b. The run-time software is used for one CUSTOMER PRODUCT only. 
c. The run-time software is used for one µC derivate and compiler version only. 
- Including MAINTENANCE (as defined on page ""Definitions"") 
 
Additionally, the restrictions according to the LICENSE PROFILE defined on page ""Scope of license"" apply.";perpetual;12 months;FINALIZED PURCHASE PROCESS + 2 weeks;One-time payment;With FINAL DELIVERY;Reproduction and Distribution License;License;;no technical license protection;6400;10;50;Fix rate;TRUE;;UpdateRightByConfiguration;TRUE
;50;Shipment;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;Hardware;;no technical license protection;6400;10;;Calculated;FALSE;;none;TRUE
